NRAS	SETBP1
NRAS	SRSF2
NRAS	TET2
NRAS	PTPN11
NRAS	PIK3R1
NSD1	RARA
NSD1	PIK3CA
NSD1	TP53
NSD1	RUNX1
NSD1	NUP214
NSD1	SETD2
NSD1	TET2
NSD1	SETBP1
NSUN2	RPL35
NSUN2	RPL35A
NSUN2	TET2
NSUN2	RPL15
NSUN2	RPL18
NUMA1	RARA
NUMA1	TP53
NUMA1	SAMHD1
NUP214	RARA
NUP214	TAL1
NUP214	RUNX1
NUP214	PICALM
NUP214	SETBP1
NUP214	SRSF2
PDGFRA	SETBP1
PDGFRA	TET2
PDGFRA	RUNX1
PDGFRA	TERT
PDGFRA	SH3GL1
PDGFRA	THPO
PDGFRA	TP53
PDGFRA	PDGFRB
PDGFRA	PIK3CA
PDGFRA	PTPN11
PDGFRA	PIK3R1
PDGFRB	TYROBP
PDGFRB	TERT
PDGFRB	RPS14
PDGFRB	RUNX1
PDGFRB	TP53
PDGFRB	THPO
PDGFRB	PIK3CA
PDGFRB	PTPN11
PDGFRB	PIK3R1
PICALM	SH3GL1
PICALM	TREM2
PIGA	PIGL
PIGA	TET2
PIK3CA	TYROBP
PIK3CA	RB1
PIK3CA	TREM2
PIK3CA	SETD2
PIK3CA	TERT
PIK3CA	PMS2
PIK3CA	TP53
PIK3CA	PTPN11
PIK3CA	PIK3R1
PIK3R1	RARA
PIK3R1	TYROBP
PIK3R1	TP53
PIK3R1	TERT
PIK3R1	TREM2
PIK3R1	WAS
PIK3R1	PTPN11
PMS2	RECQL4
PMS2	TP53
POT1	TERT
POT1	RECQL4
PTPN11	TYROBP
PTPN11	TP53
PTPN11	RUNX1
PTPN11	SH2B3
PTPN11	TREM2
PTPN11	SRSF2
PTPN11	TET2
PTPN11	SETBP1
RARA	TET2
RARA	TP53
RARA	RUNX1
RB1	RNASEH2A
RB1	TERT
RB1	RNASEH2B
RB1	TAL1
RB1	TP53
RECQL4	RNASEH2A
RECQL4	TP53
RECQL4	RPL15
RECQL4	TERT
RECQL4	RNASEH2B
RECQL4	RPS20
RECQL4	RPL18
RECQL4	RPL35A
RNASEH2A	TRIP13
RNASEH2A	SRP54
RNASEH2A	TREX1
RNASEH2A	SAMHD1
RNASEH2A	RNASEH2C
RNASEH2A	RNASEH2B
RNASEH2B	RNASEH2C
RNASEH2B	TREX1
RNASEH2B	SAMHD1
RNASEH2C	TREX1
RNASEH2C	SAMHD1
RPL11	SBDS
RPL11	RPL35
RPL11	TP53
RPL11	RPL15
RPL11	RPS15A
RPL11	RPS26
RPL11	RPL5
RPL11	TSR2
RPL11	RPS29
RPL11	RPS14
RPL11	RPS24
RPL11	RPS20
RPL11	RPL18
RPL11	SRP54
RPL11	RPL26
RPL11	RPS15
RPL11	RPS19
RPL11	RPS28
RPL11	RPS10
RPL11	RPS7
RPL11	RPL35A
RPL11	RPS17
RPL15	SBDS
RPL15	RPL35
RPL15	TP53
RPL15	TSR2
RPL15	SRP54
RPL15	RPS24
RPL15	RPL18
RPL15	RPS10
RPL15	RPS19
RPL15	RPL5
RPL15	RPS17
RPL15	RPS7
RPL15	RPS28
RPL15	RPS20
RPL15	RPS15
RPL15	RPL26
RPL15	RPL35A
RPL15	RPS26
RPL15	RPS29
RPL15	RPS14
RPL15	RPS15A
RPL18	SBDS
RPL18	RPL35
RPL18	RPS15A
RPL18	RPS26
RPL18	RPL5
RPL18	TSR2
RPL18	RPS29
RPL18	RPS14
RPL18	RPS24
RPL18	RPS20
RPL18	SRP54
RPL18	RPL35A
RPL18	RPS19
RPL18	RPS10
RPL18	RPS15
RPL18	RPL26
RPL18	RPS7
RPL18	RPS28
RPL18	RPS17
RPL26	SBDS
RPL26	RPL35
RPL26	TP53
RPL26	RPS15A
RPL26	RPS26
RPL26	RPL5
RPL26	TSR2
RPL26	RPS29
RPL26	RPS14
RPL26	RPS24
RPL26	RPS20
RPL26	SRP54
RPL26	RPS17
RPL26	RPS15
RPL26	RPS7
RPL26	RPS28
RPL26	RPS19
RPL26	RPS10
RPL26	RPL35A
RPL35	SBDS
RPL35	TSR2
RPL35	SRP54
RPL35	RPS15A
RPL35	RPS7
RPL35	RPS28
RPL35	RPS17
RPL35	RPS15
RPL35	RPS20
RPL35	RPS10
RPL35	RPS24
RPL35	RPL5
RPL35	RPS19
RPL35	RPS14
RPL35	RPL35A
RPL35	RPS29
RPL35	RPS26
RPL35A	SBDS
RPL35A	RPS15A
RPL35A	RPS26
RPL35A	RPL5
RPL35A	TSR2
RPL35A	RPS29
